DEPARTMENT;AGE_GROUP;DEATH_RATE
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
GUAINIA;;
GUAINIA;;
GUAINIA;;
GUAINIA;;
GUAINIA;;
GUAINIA;;
GUAINIA;;
GUAINIA;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
GUAVIARE;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
HUILA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
LA GUAJIRA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
MAGDALENA;;
META;;
META;;
META;;
META;;
META;;
META;;
META;;
META;;
META;;
META;;
META;;
META;;
META;;
META;;
META;;
META;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NARINO;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
NORTE DE SANTANDER;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
PUTUMAYO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
QUINDIO;;
